PA14,F22031,F23197,F30658,F34365,F5677,F63912,F9670,H27930,H47921,H5708,M1608,M37351,M55212,M74707,PA7,PAO1,S86968,T38079,T52373,T6313,T63266,W16407,W25637,W36662,W45909,W60856,W70332,W91453,X78812,X9820
fig|287.6656.peg.4014,fig|287.6613.peg.4094,fig|287.6611.peg.3989,fig|287.6614.peg.4501,fig|287.6616.peg.4040,fig|287.6612.peg.4170,fig|287.6618.peg.4153,fig|287.6615.peg.4189,fig|287.6617.peg.4031,fig|287.6621.peg.4332,fig|287.6619.peg.3958,fig|287.6622.peg.2234,fig|287.6623.peg.2236,fig|287.6624.peg.4008,fig|287.6625.peg.4024,fig|287.6657.peg.4085,fig|287.6655.peg.1321,fig|287.6631.peg.4192,fig|287.6628.peg.4153,fig|287.6632.peg.3950,fig|287.6629.peg.4457,fig|287.6635.peg.4012,fig|287.6633.peg.4348,fig|287.6634.peg.3861,fig|287.6637.peg.4280,fig|287.6636.peg.4116,fig|287.6620.peg.4674,fig|287.6630.peg.4257,fig|287.6639.peg.4453,fig|287.6638.peg.3925,fig|287.6627.peg.4027
fig|287.6656.peg.4015,fig|287.6613.peg.4095,fig|287.6611.peg.3990,fig|287.6614.peg.4502,fig|287.6616.peg.4041,fig|287.6612.peg.4171,fig|287.6618.peg.4154,fig|287.6615.peg.4190,fig|287.6617.peg.4032,fig|287.6621.peg.4333,fig|287.6619.peg.3959,fig|287.6622.peg.2233,fig|287.6623.peg.2235,fig|287.6624.peg.4007,fig|287.6625.peg.4025,fig|287.6657.peg.4086,fig|287.6655.peg.1320,fig|287.6631.peg.4193,fig|287.6628.peg.4154,fig|287.6632.peg.3951,fig|287.6629.peg.4458,fig|287.6635.peg.4013,fig|287.6633.peg.4349,fig|287.6634.peg.3860,fig|287.6637.peg.4281,fig|287.6636.peg.4117,fig|287.6620.peg.4675,fig|287.6630.peg.4258,fig|287.6639.peg.4454,fig|287.6638.peg.3926,fig|287.6627.peg.4028
fig|287.6656.peg.4016,fig|287.6613.peg.4096,fig|287.6611.peg.3991,fig|287.6614.peg.4503,fig|287.6616.peg.4042,fig|287.6612.peg.4172,fig|287.6618.peg.4155,fig|287.6615.peg.4191,fig|287.6617.peg.4033,fig|287.6621.peg.4334,fig|287.6619.peg.3960,fig|287.6622.peg.2232,fig|287.6623.peg.2234,fig|287.6624.peg.4006,fig|287.6625.peg.4026,fig|287.6657.peg.4087,fig|287.6655.peg.1319,fig|287.6631.peg.4194,fig|287.6628.peg.4155,fig|287.6632.peg.3952,fig|287.6629.peg.4459,fig|287.6635.peg.4014,fig|287.6633.peg.4350,fig|287.6634.peg.3859,fig|287.6637.peg.4282,fig|287.6636.peg.4118,fig|287.6620.peg.4676,fig|287.6630.peg.4259,fig|287.6639.peg.4455,fig|287.6638.peg.3927,fig|287.6627.peg.4029
fig|287.6656.peg.4017,fig|287.6613.peg.4097,fig|287.6611.peg.3992,fig|287.6614.peg.4504,fig|287.6616.peg.4043,fig|287.6612.peg.4173,fig|287.6618.peg.4156,fig|287.6615.peg.4192,fig|287.6617.peg.4034,fig|287.6621.peg.4335,fig|287.6619.peg.3961,fig|287.6622.peg.2231,fig|287.6623.peg.2233,fig|287.6624.peg.4005,fig|287.6625.peg.4027,fig|287.6657.peg.4088,fig|287.6655.peg.1318,fig|287.6631.peg.4195,fig|287.6628.peg.4156,fig|287.6632.peg.3953,fig|287.6629.peg.4460,fig|287.6635.peg.4015,fig|287.6633.peg.4351,fig|287.6634.peg.3858,fig|287.6637.peg.4283,fig|287.6636.peg.4119,fig|287.6620.peg.4677,fig|287.6630.peg.4260,fig|287.6639.peg.4456,fig|287.6638.peg.3928,fig|287.6627.peg.4030
fig|287.6656.peg.4018,fig|287.6613.peg.4098,fig|287.6611.peg.3993,fig|287.6614.peg.4505,fig|287.6616.peg.4044,fig|287.6612.peg.4174,fig|287.6618.peg.4157,fig|287.6615.peg.4193,fig|287.6617.peg.4035,fig|287.6621.peg.4336,fig|287.6619.peg.3962,fig|287.6622.peg.2230,fig|287.6623.peg.2232,fig|287.6624.peg.4004,fig|287.6625.peg.4028,fig|287.6657.peg.4089,fig|287.6655.peg.1317,fig|287.6631.peg.4196,fig|287.6628.peg.4157,fig|287.6632.peg.3954,fig|287.6629.peg.4461,fig|287.6635.peg.4016,fig|287.6633.peg.4352,fig|287.6634.peg.3857,fig|287.6637.peg.4284,fig|287.6636.peg.4120,fig|287.6620.peg.4678,fig|287.6630.peg.4261,fig|287.6639.peg.4457,fig|287.6638.peg.3929,fig|287.6627.peg.4031
fig|287.6656.peg.4020,fig|287.6613.peg.4100,fig|287.6611.peg.3995,fig|287.6614.peg.4508,fig|287.6616.peg.4045,fig|287.6612.peg.4176,fig|287.6618.peg.4159,fig|287.6615.peg.4195,fig|287.6617.peg.4037,fig|287.6621.peg.4338,fig|287.6619.peg.3963,fig|287.6622.peg.2225,fig|287.6623.peg.2228,fig|287.6624.peg.4001,fig|287.6625.peg.4030,fig|287.6657.peg.4090,fig|287.6655.peg.1316,fig|287.6631.peg.4198,fig|287.6628.peg.4159,fig|287.6632.peg.3956,fig|287.6629.peg.4464,fig|287.6635.peg.4018,fig|287.6633.peg.4353,fig|287.6634.peg.3854,fig|287.6637.peg.4286,fig|287.6636.peg.4123,fig|287.6620.peg.4680,fig|287.6630.peg.4263,fig|287.6639.peg.4459,fig|287.6638.peg.3931,fig|287.6627.peg.4033
fig|287.6656.peg.4021,fig|287.6613.peg.4101,fig|287.6611.peg.3996,fig|287.6614.peg.4509,fig|287.6616.peg.4046,fig|287.6612.peg.4177,fig|287.6618.peg.4160,fig|287.6615.peg.4196,fig|287.6617.peg.4038,fig|287.6621.peg.4339,fig|287.6619.peg.3964,fig|287.6622.peg.2224,fig|287.6623.peg.2227,fig|287.6624.peg.4000,fig|287.6625.peg.4031,fig|287.6657.peg.4091,fig|287.6655.peg.1315,fig|287.6631.peg.4199,fig|287.6628.peg.4160,fig|287.6632.peg.3957,fig|287.6629.peg.4465,fig|287.6635.peg.4019,fig|287.6633.peg.4354,fig|287.6634.peg.3853,fig|287.6637.peg.4287,fig|287.6636.peg.4124,fig|287.6620.peg.4681,fig|287.6630.peg.4264,fig|287.6639.peg.4460,fig|287.6638.peg.3932,fig|287.6627.peg.4034
fig|287.6656.peg.4022,fig|287.6613.peg.4102,fig|287.6611.peg.3997,fig|287.6614.peg.4510,fig|287.6616.peg.4047,fig|287.6612.peg.4178,fig|287.6618.peg.4161,fig|287.6615.peg.4197,fig|287.6617.peg.4039,fig|287.6621.peg.4340,fig|287.6619.peg.3965,fig|287.6622.peg.2223,fig|287.6623.peg.2226,fig|287.6624.peg.3999,fig|287.6625.peg.4032,fig|287.6657.peg.4092,fig|287.6655.peg.1314,fig|287.6631.peg.4200,fig|287.6628.peg.4161,fig|287.6632.peg.3958,fig|287.6629.peg.4466,fig|287.6635.peg.4020,fig|287.6633.peg.4355,fig|287.6634.peg.3852,fig|287.6637.peg.4288,fig|287.6636.peg.4125,fig|287.6620.peg.4682,fig|287.6630.peg.4265,fig|287.6639.peg.4461,fig|287.6638.peg.3933,fig|287.6627.peg.4035
fig|287.6656.peg.4023,fig|287.6613.peg.4103,fig|287.6611.peg.3998,fig|287.6614.peg.4511,fig|287.6616.peg.4048,fig|287.6612.peg.4179,fig|287.6618.peg.4162,fig|287.6615.peg.4198,fig|287.6617.peg.4040,fig|287.6621.peg.4341,fig|287.6619.peg.3966,fig|287.6622.peg.2222,fig|287.6623.peg.2225,fig|287.6624.peg.3998,fig|287.6625.peg.4033,fig|287.6657.peg.4093,fig|287.6655.peg.1313,fig|287.6631.peg.4201,fig|287.6628.peg.4162,fig|287.6632.peg.3959,fig|287.6629.peg.4467,fig|287.6635.peg.4021,fig|287.6633.peg.4356,fig|287.6634.peg.3851,fig|287.6637.peg.4289,fig|287.6636.peg.4126,fig|287.6620.peg.4683,fig|287.6630.peg.4266,fig|287.6639.peg.4462,fig|287.6638.peg.3934,fig|287.6627.peg.4036
fig|287.6656.peg.4026,fig|287.6613.peg.4106,fig|287.6611.peg.4001,fig|287.6614.peg.4514,fig|287.6616.peg.4051,fig|287.6612.peg.4192,fig|287.6618.peg.4175,fig|287.6615.peg.4201,fig|287.6617.peg.4043,fig|287.6621.peg.4344,fig|287.6619.peg.3969,fig|287.6622.peg.2219,fig|287.6623.peg.2222,fig|287.6624.peg.3995,fig|287.6625.peg.4036,fig|287.6657.peg.4099,fig|287.6655.peg.1310,fig|287.6631.peg.4204,fig|287.6628.peg.4165,fig|287.6632.peg.3963,fig|287.6629.peg.4470,fig|287.6635.peg.4024,fig|287.6633.peg.4359,fig|287.6634.peg.3848,fig|287.6637.peg.4292,fig|287.6636.peg.4129,fig|287.6620.peg.4686,fig|287.6630.peg.4269,fig|287.6639.peg.4465,fig|287.6638.peg.3937,fig|287.6627.peg.4039
fig|287.6656.peg.4031,fig|287.6613.peg.4108,fig|287.6611.peg.4003,fig|287.6614.peg.4515,fig|287.6616.peg.4056,fig|287.6612.peg.4194,fig|287.6618.peg.4181,fig|287.6615.peg.4203,fig|287.6617.peg.4044,fig|287.6621.peg.4345,fig|287.6619.peg.3975,fig|287.6622.peg.2214,fig|287.6623.peg.2217,fig|287.6624.peg.3994,fig|287.6625.peg.4038,fig|287.6657.peg.2076,fig|287.6655.peg.1305,fig|287.6631.peg.4206,fig|287.6628.peg.4167,fig|287.6632.peg.3965,fig|287.6629.peg.4472,fig|287.6635.peg.4026,fig|287.6633.peg.4364,fig|287.6634.peg.3847,fig|287.6637.peg.4297,fig|287.6636.peg.4135,fig|287.6620.peg.4692,fig|287.6630.peg.4275,fig|287.6639.peg.4466,fig|287.6638.peg.3942,fig|287.6627.peg.4041
fig|287.6656.peg.4032,fig|287.6613.peg.4109,fig|287.6611.peg.4004,fig|287.6614.peg.4516,fig|287.6616.peg.4057,fig|287.6612.peg.4195,fig|287.6618.peg.4182,fig|287.6615.peg.4204,fig|287.6617.peg.4045,fig|287.6621.peg.4346,fig|287.6619.peg.3976,fig|287.6622.peg.2213,fig|287.6623.peg.2216,fig|287.6624.peg.3993,fig|287.6625.peg.4039,fig|287.6657.peg.2075,fig|287.6655.peg.1304,fig|287.6631.peg.4207,fig|287.6628.peg.4168,fig|287.6632.peg.3966,fig|287.6629.peg.4473,fig|287.6635.peg.4027,fig|287.6633.peg.4365,fig|287.6634.peg.3846,fig|287.6637.peg.4298,fig|287.6636.peg.4136,fig|287.6620.peg.4693,fig|287.6630.peg.4276,fig|287.6639.peg.4467,fig|287.6638.peg.3943,fig|287.6627.peg.4042
fig|287.6656.peg.4033,fig|287.6613.peg.4110,fig|287.6611.peg.4005,fig|287.6614.peg.4517,fig|287.6616.peg.4058,fig|287.6612.peg.4196,fig|287.6618.peg.4183,fig|287.6615.peg.4205,fig|287.6617.peg.4046,fig|287.6621.peg.4347,fig|287.6619.peg.3977,fig|287.6622.peg.2212,fig|287.6623.peg.2215,fig|287.6624.peg.3992,fig|287.6625.peg.4040,fig|287.6657.peg.2074,fig|287.6655.peg.1303,fig|287.6631.peg.4208,fig|287.6628.peg.4169,fig|287.6632.peg.3967,fig|287.6629.peg.4474,fig|287.6635.peg.4028,fig|287.6633.peg.4366,fig|287.6634.peg.3845,fig|287.6637.peg.4299,fig|287.6636.peg.4137,fig|287.6620.peg.4694,fig|287.6630.peg.4277,fig|287.6639.peg.4468,fig|287.6638.peg.3944,fig|287.6627.peg.4043
fig|287.6656.peg.4034,fig|287.6613.peg.4111,fig|287.6611.peg.4006,fig|287.6614.peg.4518,fig|287.6616.peg.4059,fig|287.6612.peg.4197,fig|287.6618.peg.4184,fig|287.6615.peg.4206,fig|287.6617.peg.4047,fig|287.6621.peg.4348,fig|287.6619.peg.3978,fig|287.6622.peg.2211,fig|287.6623.peg.2214,fig|287.6624.peg.3991,fig|287.6625.peg.4041,fig|287.6657.peg.2077,fig|287.6655.peg.1302,fig|287.6631.peg.4209,fig|287.6628.peg.4170,fig|287.6632.peg.3968,fig|287.6629.peg.4475,fig|287.6635.peg.4029,fig|287.6633.peg.4367,fig|287.6634.peg.3844,fig|287.6637.peg.4300,fig|287.6636.peg.4138,fig|287.6620.peg.4695,fig|287.6630.peg.4278,fig|287.6639.peg.4469,fig|287.6638.peg.3945,fig|287.6627.peg.4044
fig|287.6656.peg.4035,fig|287.6613.peg.4112,fig|287.6611.peg.4007,fig|287.6614.peg.4519,fig|287.6616.peg.4060,fig|287.6612.peg.4198,fig|287.6618.peg.4185,fig|287.6615.peg.4207,fig|287.6617.peg.4048,fig|287.6621.peg.4349,fig|287.6619.peg.3979,fig|287.6622.peg.2210,fig|287.6623.peg.2213,fig|287.6624.peg.3990,fig|287.6625.peg.4042,fig|287.6657.peg.4100,fig|287.6655.peg.1301,fig|287.6631.peg.4210,fig|287.6628.peg.4171,fig|287.6632.peg.3969,fig|287.6629.peg.4476,fig|287.6635.peg.4030,fig|287.6633.peg.4368,fig|287.6634.peg.3843,fig|287.6637.peg.4301,fig|287.6636.peg.4139,fig|287.6620.peg.4696,fig|287.6630.peg.4279,fig|287.6639.peg.4470,fig|287.6638.peg.3946,fig|287.6627.peg.4045
fig|287.6656.peg.4038,fig|287.6613.peg.4115,fig|287.6611.peg.4010,fig|287.6614.peg.4522,fig|287.6616.peg.4063,fig|287.6612.peg.4201,fig|287.6618.peg.4188,fig|287.6615.peg.4210,fig|287.6617.peg.4051,fig|287.6621.peg.4353,fig|287.6619.peg.3982,fig|287.6622.peg.2207,fig|287.6623.peg.2210,fig|287.6624.peg.3987,fig|287.6625.peg.4051,fig|287.6657.peg.4103,fig|287.6655.peg.1298,fig|287.6631.peg.4213,fig|287.6628.peg.4174,fig|287.6632.peg.3972,fig|287.6629.peg.4479,fig|287.6635.peg.4033,fig|287.6633.peg.4371,fig|287.6634.peg.3840,fig|287.6637.peg.4304,fig|287.6636.peg.4142,fig|287.6620.peg.4699,fig|287.6630.peg.4282,fig|287.6639.peg.4473,fig|287.6638.peg.3949,fig|287.6627.peg.4048
fig|287.6656.peg.4039,fig|287.6613.peg.4116,fig|287.6611.peg.4011,fig|287.6614.peg.4523,fig|287.6616.peg.4064,fig|287.6612.peg.4202,fig|287.6618.peg.4189,fig|287.6615.peg.4211,fig|287.6617.peg.4052,fig|287.6621.peg.4354,fig|287.6619.peg.3983,fig|287.6622.peg.2206,fig|287.6623.peg.2209,fig|287.6624.peg.3986,fig|287.6625.peg.4052,fig|287.6657.peg.4104,fig|287.6655.peg.1297,fig|287.6631.peg.4214,fig|287.6628.peg.4175,fig|287.6632.peg.3973,fig|287.6629.peg.4480,fig|287.6635.peg.4034,fig|287.6633.peg.4372,fig|287.6634.peg.3839,fig|287.6637.peg.4305,fig|287.6636.peg.4143,fig|287.6620.peg.4700,fig|287.6630.peg.4283,fig|287.6639.peg.4474,fig|287.6638.peg.3950,fig|287.6627.peg.4049
fig|287.6656.peg.4040,fig|287.6613.peg.4117,fig|287.6611.peg.4012,fig|287.6614.peg.4524,fig|287.6616.peg.4065,fig|287.6612.peg.4203,fig|287.6618.peg.4190,fig|287.6615.peg.4212,fig|287.6617.peg.4053,fig|287.6621.peg.4355,fig|287.6619.peg.3984,fig|287.6622.peg.2205,fig|287.6623.peg.2208,fig|287.6624.peg.3985,fig|287.6625.peg.4053,fig|287.6657.peg.4105,fig|287.6655.peg.1296,fig|287.6631.peg.4215,fig|287.6628.peg.4176,fig|287.6632.peg.3974,fig|287.6629.peg.4481,fig|287.6635.peg.4035,fig|287.6633.peg.4373,fig|287.6634.peg.3838,fig|287.6637.peg.4306,fig|287.6636.peg.4144,fig|287.6620.peg.4701,fig|287.6630.peg.4284,fig|287.6639.peg.4475,fig|287.6638.peg.3951,fig|287.6627.peg.4050
fig|287.6656.peg.4042,fig|287.6613.peg.4119,fig|287.6611.peg.4014,fig|287.6614.peg.4526,fig|287.6616.peg.4067,fig|287.6612.peg.4206,fig|287.6618.peg.4192,fig|287.6615.peg.4214,fig|287.6617.peg.4055,fig|287.6621.peg.4357,fig|287.6619.peg.3986,fig|287.6622.peg.2203,fig|287.6623.peg.2206,fig|287.6624.peg.3983,fig|287.6625.peg.4055,fig|287.6657.peg.4107,fig|287.6655.peg.1294,fig|287.6631.peg.4217,fig|287.6628.peg.4178,fig|287.6632.peg.3976,fig|287.6629.peg.4483,fig|287.6635.peg.4037,fig|287.6633.peg.4375,fig|287.6634.peg.3836,fig|287.6637.peg.4308,fig|287.6636.peg.4146,fig|287.6620.peg.4703,fig|287.6630.peg.4286,fig|287.6639.peg.4477,fig|287.6638.peg.3953,fig|287.6627.peg.4052
fig|287.6656.peg.4043,fig|287.6613.peg.4120,fig|287.6611.peg.4015,fig|287.6614.peg.4527,fig|287.6616.peg.4068,fig|287.6612.peg.4207,fig|287.6618.peg.4193,fig|287.6615.peg.4215,fig|287.6617.peg.4056,fig|287.6621.peg.4358,fig|287.6619.peg.3987,fig|287.6622.peg.2202,fig|287.6623.peg.2205,fig|287.6624.peg.3982,fig|287.6625.peg.4056,fig|287.6657.peg.4108,fig|287.6655.peg.1293,fig|287.6631.peg.4218,fig|287.6628.peg.4179,fig|287.6632.peg.3977,fig|287.6629.peg.4484,fig|287.6635.peg.4038,fig|287.6633.peg.4376,fig|287.6634.peg.3835,fig|287.6637.peg.4309,fig|287.6636.peg.4147,fig|287.6620.peg.4704,fig|287.6630.peg.4287,fig|287.6639.peg.4478,fig|287.6638.peg.3954,fig|287.6627.peg.4053
fig|287.6656.peg.4044,fig|287.6613.peg.4121,fig|287.6611.peg.4016,fig|287.6614.peg.4528,fig|287.6616.peg.4069,fig|287.6612.peg.4208,fig|287.6618.peg.4194,fig|287.6615.peg.4216,fig|287.6617.peg.4057,fig|287.6621.peg.4359,fig|287.6619.peg.3988,fig|287.6622.peg.2201,fig|287.6623.peg.2204,fig|287.6624.peg.3981,fig|287.6625.peg.4057,fig|287.6657.peg.4109,fig|287.6655.peg.1292,fig|287.6631.peg.4219,fig|287.6628.peg.4180,fig|287.6632.peg.3978,fig|287.6629.peg.4485,fig|287.6635.peg.4039,fig|287.6633.peg.4377,fig|287.6634.peg.3834,fig|287.6637.peg.4310,fig|287.6636.peg.4148,fig|287.6620.peg.4705,fig|287.6630.peg.4288,fig|287.6639.peg.4479,fig|287.6638.peg.3955,fig|287.6627.peg.4054
fig|287.6656.peg.4051,fig|287.6613.peg.4124,fig|287.6611.peg.4023,fig|287.6614.peg.4531,fig|287.6616.peg.4076,fig|287.6612.peg.4211,fig|287.6618.peg.4197,fig|287.6615.peg.4219,fig|287.6617.peg.4060,fig|287.6621.peg.4362,fig|287.6619.peg.3995,fig|287.6622.peg.2194,fig|287.6623.peg.2197,fig|287.6624.peg.3978,fig|287.6625.peg.4060,fig|287.6657.peg.4113,fig|287.6655.peg.1289,fig|287.6631.peg.4222,fig|287.6628.peg.4183,fig|287.6632.peg.3981,fig|287.6629.peg.4488,fig|287.6635.peg.4042,fig|287.6633.peg.4380,fig|287.6634.peg.3831,fig|287.6637.peg.4313,fig|287.6636.peg.4155,fig|287.6620.peg.4708,fig|287.6630.peg.4291,fig|287.6639.peg.4482,fig|287.6638.peg.3958,fig|287.6627.peg.4057
fig|287.6656.peg.4063,fig|287.6613.peg.4137,fig|287.6611.peg.4035,fig|287.6614.peg.4543,fig|287.6616.peg.4088,fig|287.6612.peg.4224,fig|287.6618.peg.4210,fig|287.6615.peg.4232,fig|287.6617.peg.4072,fig|287.6621.peg.4374,fig|287.6619.peg.4008,fig|287.6622.peg.2177,fig|287.6623.peg.2181,fig|287.6624.peg.3966,fig|287.6625.peg.4072,fig|287.6657.peg.4114,fig|287.6655.peg.1277,fig|287.6631.peg.4235,fig|287.6628.peg.4195,fig|287.6632.peg.3993,fig|287.6629.peg.4500,fig|287.6635.peg.4054,fig|287.6633.peg.4393,fig|287.6634.peg.3819,fig|287.6637.peg.4325,fig|287.6636.peg.4167,fig|287.6620.peg.4721,fig|287.6630.peg.4304,fig|287.6639.peg.4494,fig|287.6638.peg.3970,fig|287.6627.peg.4069
fig|287.6656.peg.4064,fig|287.6613.peg.4138,fig|287.6611.peg.4036,fig|287.6614.peg.4544,fig|287.6616.peg.4089,fig|287.6612.peg.4225,fig|287.6618.peg.4211,fig|287.6615.peg.4233,fig|287.6617.peg.4073,fig|287.6621.peg.4375,fig|287.6619.peg.4009,fig|287.6622.peg.2176,fig|287.6623.peg.2180,fig|287.6624.peg.3965,fig|287.6625.peg.4073,fig|287.6657.peg.4115,fig|287.6655.peg.1276,fig|287.6631.peg.4236,fig|287.6628.peg.4196,fig|287.6632.peg.3994,fig|287.6629.peg.4501,fig|287.6635.peg.4055,fig|287.6633.peg.4394,fig|287.6634.peg.3818,fig|287.6637.peg.4326,fig|287.6636.peg.4168,fig|287.6620.peg.4722,fig|287.6630.peg.4305,fig|287.6639.peg.4495,fig|287.6638.peg.3971,fig|287.6627.peg.4070
fig|287.6656.peg.4065,fig|287.6613.peg.4139,fig|287.6611.peg.4037,fig|287.6614.peg.4545,fig|287.6616.peg.4090,fig|287.6612.peg.4226,fig|287.6618.peg.4212,fig|287.6615.peg.4234,fig|287.6617.peg.4074,fig|287.6621.peg.4376,fig|287.6619.peg.4010,fig|287.6622.peg.2175,fig|287.6623.peg.2179,fig|287.6624.peg.3964,fig|287.6625.peg.4074,fig|287.6657.peg.4116,fig|287.6655.peg.1275,fig|287.6631.peg.4237,fig|287.6628.peg.4197,fig|287.6632.peg.3995,fig|287.6629.peg.4502,fig|287.6635.peg.4056,fig|287.6633.peg.4395,fig|287.6634.peg.3817,fig|287.6637.peg.4327,fig|287.6636.peg.4169,fig|287.6620.peg.4723,fig|287.6630.peg.4306,fig|287.6639.peg.4496,fig|287.6638.peg.3972,fig|287.6627.peg.4071
fig|287.6656.peg.4066,fig|287.6613.peg.4140,fig|287.6611.peg.4038,fig|287.6614.peg.4546,fig|287.6616.peg.4091,fig|287.6612.peg.4227,fig|287.6618.peg.4213,fig|287.6615.peg.4235,fig|287.6617.peg.4075,fig|287.6621.peg.4377,fig|287.6619.peg.4011,fig|287.6622.peg.2174,fig|287.6623.peg.2178,fig|287.6624.peg.3963,fig|287.6625.peg.4075,fig|287.6657.peg.4117,fig|287.6655.peg.1274,fig|287.6631.peg.4238,fig|287.6628.peg.4198,fig|287.6632.peg.3996,fig|287.6629.peg.4503,fig|287.6635.peg.4057,fig|287.6633.peg.4396,fig|287.6634.peg.3816,fig|287.6637.peg.4328,fig|287.6636.peg.4170,fig|287.6620.peg.4724,fig|287.6630.peg.4307,fig|287.6639.peg.4497,fig|287.6638.peg.3973,fig|287.6627.peg.4072
fig|287.6656.peg.4067,fig|287.6613.peg.4141,fig|287.6611.peg.4039,fig|287.6614.peg.4547,fig|287.6616.peg.4092,fig|287.6612.peg.4228,fig|287.6618.peg.4214,fig|287.6615.peg.4236,fig|287.6617.peg.4076,fig|287.6621.peg.4378,fig|287.6619.peg.4012,fig|287.6622.peg.2173,fig|287.6623.peg.2177,fig|287.6624.peg.3962,fig|287.6625.peg.4076,fig|287.6657.peg.4118,fig|287.6655.peg.1273,fig|287.6631.peg.4239,fig|287.6628.peg.4199,fig|287.6632.peg.3997,fig|287.6629.peg.4504,fig|287.6635.peg.4058,fig|287.6633.peg.4397,fig|287.6634.peg.3815,fig|287.6637.peg.4329,fig|287.6636.peg.4171,fig|287.6620.peg.4725,fig|287.6630.peg.4308,fig|287.6639.peg.4498,fig|287.6638.peg.3974,fig|287.6627.peg.4073
fig|287.6656.peg.4068,fig|287.6613.peg.4142,fig|287.6611.peg.4040,fig|287.6614.peg.4548,fig|287.6616.peg.4093,fig|287.6612.peg.4229,fig|287.6618.peg.4215,fig|287.6615.peg.4237,fig|287.6617.peg.4077,fig|287.6621.peg.4379,fig|287.6619.peg.4013,fig|287.6622.peg.2172,fig|287.6623.peg.2176,fig|287.6624.peg.3961,fig|287.6625.peg.4077,fig|287.6657.peg.4119,fig|287.6655.peg.1272,fig|287.6631.peg.4240,fig|287.6628.peg.4200,fig|287.6632.peg.3998,fig|287.6629.peg.4505,fig|287.6635.peg.4059,fig|287.6633.peg.4398,fig|287.6634.peg.3814,fig|287.6637.peg.4330,fig|287.6636.peg.4172,fig|287.6620.peg.4726,fig|287.6630.peg.4309,fig|287.6639.peg.4499,fig|287.6638.peg.3975,fig|287.6627.peg.4074
fig|287.6656.peg.4069,fig|287.6613.peg.4143,fig|287.6611.peg.4041,fig|287.6614.peg.4549,fig|287.6616.peg.4094,fig|287.6612.peg.4230,fig|287.6618.peg.4216,fig|287.6615.peg.4238,fig|287.6617.peg.4078,fig|287.6621.peg.4380,fig|287.6619.peg.4014,fig|287.6622.peg.2171,fig|287.6623.peg.2175,fig|287.6624.peg.3960,fig|287.6625.peg.4078,fig|287.6657.peg.4120,fig|287.6655.peg.1271,fig|287.6631.peg.4241,fig|287.6628.peg.4201,fig|287.6632.peg.3999,fig|287.6629.peg.4506,fig|287.6635.peg.4060,fig|287.6633.peg.4399,fig|287.6634.peg.3813,fig|287.6637.peg.4331,fig|287.6636.peg.4173,fig|287.6620.peg.4727,fig|287.6630.peg.4310,fig|287.6639.peg.4500,fig|287.6638.peg.3976,fig|287.6627.peg.4075
fig|287.6656.peg.4070,fig|287.6613.peg.4144,fig|287.6611.peg.4042,fig|287.6614.peg.4550,fig|287.6616.peg.4095,fig|287.6612.peg.4231,fig|287.6618.peg.4217,fig|287.6615.peg.4239,fig|287.6617.peg.4079,fig|287.6621.peg.4381,fig|287.6619.peg.4015,fig|287.6622.peg.2170,fig|287.6623.peg.2174,fig|287.6624.peg.3959,fig|287.6625.peg.4079,fig|287.6657.peg.4121,fig|287.6655.peg.1270,fig|287.6631.peg.4242,fig|287.6628.peg.4202,fig|287.6632.peg.4000,fig|287.6629.peg.4507,fig|287.6635.peg.4061,fig|287.6633.peg.4400,fig|287.6634.peg.3812,fig|287.6637.peg.4332,fig|287.6636.peg.4174,fig|287.6620.peg.4728,fig|287.6630.peg.4311,fig|287.6639.peg.4501,fig|287.6638.peg.3977,fig|287.6627.peg.4076
fig|287.6656.peg.4071,fig|287.6613.peg.4145,fig|287.6611.peg.4043,fig|287.6614.peg.4551,fig|287.6616.peg.4096,fig|287.6612.peg.4232,fig|287.6618.peg.4218,fig|287.6615.peg.4240,fig|287.6617.peg.4080,fig|287.6621.peg.4382,fig|287.6619.peg.4016,fig|287.6622.peg.2169,fig|287.6623.peg.2173,fig|287.6624.peg.3958,fig|287.6625.peg.4080,fig|287.6657.peg.4122,fig|287.6655.peg.1269,fig|287.6631.peg.4243,fig|287.6628.peg.4203,fig|287.6632.peg.4001,fig|287.6629.peg.4508,fig|287.6635.peg.4062,fig|287.6633.peg.4401,fig|287.6634.peg.3811,fig|287.6637.peg.4333,fig|287.6636.peg.4175,fig|287.6620.peg.4729,fig|287.6630.peg.4312,fig|287.6639.peg.4502,fig|287.6638.peg.3978,fig|287.6627.peg.4077
