locus,Gene
PA14_64880,group_11068
PA14_64890,livH_2
PA14_64900,livJ
PA14_64910,gcvA_8
PA14_64920,group_10562
PA14_64930,group_10744
PA14_64940,nadD_2
PA14_64950,pncA
PA14_64960,pncB2_2
PA14_64980,nadE_2
PA14_64990,group_12680
PA14_65000,azu
PA14_65010,group_12577
PA14_65030,nlpD
PA14_65040,mscS_2
PA14_65050,group_2844
PA14_65060,group_11179
PA14_65080,group_9827
PA14_65090,group_498
PA14_65110,alr
PA14_65130,dnaB_2
PA14_65150,rplI
PA14_65160,group_1582
PA14_65170,rpsR
PA14_65180,rpsF
PA14_65190,rlmB
PA14_65200,rnr
PA14_65230,purA
PA14_65250,hisZ
PA14_65260,group_794
PA14_65270,hflC
PA14_65280,hflK
PA14_65300,hflX
PA14_65310,hfq
PA14_65320,miaA
PA14_65350,mutL
PA14_65370,amiC_3
PA14_65380,tsaE
PA14_65390,nnr
PA14_65400,queG
PA14_65410,orn
PA14_65420,rsgA
PA14_65430,motB
PA14_65450,motA
PA14_65470,group_11330
PA14_65480,rhdA
PA14_65500,psd
PA14_65520,fimW
PA14_65540,group_9684
PA14_65560,serB2
PA14_65570,group_9862
PA14_65580,ybcI
PA14_65590,group_1588
PA14_65605,parC
PA14_65630,group_2852
PA14_65640,group_10714
PA14_65660,parE
PA14_65670,group_2854
PA14_65690,cpdA_2
PA14_65700,group_11589
PA14_65710,nudF
PA14_65720,group_10662
PA14_65740,thiC
PA14_65750,tolC_3
PA14_65760,azoR_2
PA14_65770,aruH
PA14_65795,aruI_2
PA14_65810,FCS1_2
PA14_65820,acdA_2
PA14_65840,group_12562
PA14_65850,rocC
PA14_65860,rcsC_15
PA14_65870,group_12471
PA14_65880,arcA_1
PA14_65900,betI_2
PA14_65920,group_10510
PA14_65940,group_2858
PA14_65950,puuR_2
PA14_65960,waaA
PA14_65970,yhaJ_4
PA14_65990,group_9503
PA14_66000,group_11238
PA14_66010,group_12420
PA14_66020,group_11490
PA14_66040,bcd
PA14_66050,acrC_2
PA14_66060,hldE
PA14_66080,msbA
PA14_66090,group_12094
PA14_66100,group_5538
PA14_66110,group_12446
PA14_66120,group_10529
PA14_66140,group_12333
PA14_66150,group_12617
PA14_66160,mshA_4
PA14_66170,tobZ
PA14_66190,group_10265
PA14_66200,inaA_2
PA14_66210,rfaP_1
PA14_66220,rfaP_2
PA14_66230,rfaG
PA14_66240,rfaC
PA14_66250,rfaF
PA14_66260,ilvE
PA14_66270,glnE
PA14_66290,aceE
PA14_66310,aceF
PA14_66320,group_10093
PA14_66330,msrA
PA14_66340,rlmJ
PA14_66350,dmdC_6
PA14_66380,nhaP2_2
PA14_66400,mscK
PA14_66410,selO
PA14_66420,group_2859
PA14_66440,group_12118
PA14_66450,group_12020
PA14_66460,group_10713
PA14_66480,soj_3
PA14_66490,benM_4
PA14_66510,ynfM_1
PA14_66520,group_1603
PA14_66530,group_2861
PA14_66540,group_12179
PA14_66550,hemE
PA14_66560,gltD_2
PA14_66570,gltB
PA14_66580,damX
PA14_66600,aroB
PA14_66610,aroK
PA14_66620,group_6169
PA14_66630,group_6170
PA14_66640,group_6171
PA14_66650,group_6172
PA14_66660,ftsA_2
PA14_66670,mrcA
PA14_66680,maeB
PA14_66690,bepA_4
PA14_66700,group_12502
PA14_66710,rpmE
PA14_66720,priA
PA14_66750,argS
PA14_66760,ftsN_2
PA14_66770,hslV
PA14_66790,hslU
PA14_66800,group_9562
PA14_66820,phaC_1
PA14_66830,catD_4
PA14_66840,phaC_2
PA14_66850,group_11784
PA14_66875,group_879
PA14_66880,group_9817
PA14_66890,group_12408
PA14_66900,ubiE
PA14_66910,ubiJ_2
PA14_66920,ubiB
PA14_66940,hisI
PA14_66950,hisE
PA14_66960,tatA
PA14_66970,tatB
PA14_66980,tatC
PA14_66990,group_11887
PA14_67010,mcpQ_3
PA14_67020,group_4449
PA14_67030,glnQ_4
PA14_67040,group_9424
PA14_67050,fliY_2
PA14_67065,opgH
PA14_67090,mdoG
PA14_67100,dtd
PA14_67110,pip
PA14_67120,group_11362
PA14_67130,gltI_2
PA14_67140,yabJ_2
PA14_67150,dadA1_1
PA14_67170,group_2866
PA14_67180,group_61
PA14_67190,group_60
PA14_67200,group_59
PA14_67210,group_124
PA14_67220,group_125
PA14_67230,group_1606
PA14_67240,group_11133
PA14_67250,hutI
PA14_67260,hutH_1
PA14_67270,ousV
PA14_67280,opuAB_1
PA14_67300,group_11466
PA14_67310,proY_2
PA14_67320,hutH_2
PA14_67340,pucI_3
PA14_67350,hutU
PA14_67370,group_2867
PA14_67380,group_799
PA14_67400,ousX
PA14_67410,ves
PA14_67420,nagR_3
PA14_67440,group_12239
PA14_67450,blc
PA14_67460,group_9642
PA14_67470,group_12177
PA14_67490,fbp_2
PA14_67500,gloA_3
PA14_67510,estA
PA14_67520,group_10399
PA14_67530,group_2869
PA14_67540,group_2870
PA14_67550,soxR_2
PA14_67560,typA
PA14_67580,thiI
PA14_67600,glnA_1
PA14_67620,group_2872
PA14_67630,group_12535
PA14_67640,group_12564
PA14_67650,group_1607
PA14_67670,glnL
PA14_67680,glnG
PA14_67700,group_1608
PA14_67710,trmL
PA14_67720,secB
PA14_67740,grxC
PA14_67750,yibN
PA14_67770,gpmI
PA14_67780,group_12384
PA14_67790,envC
PA14_67810,ctpB
PA14_67820,group_1609
PA14_67830,group_11928
PA14_67840,group_1611
PA14_67850,group_9662
PA14_67860,group_11208
PA14_67880,hisF
PA14_67890,hisA
PA14_67900,group_11882
PA14_67920,hisH
PA14_67930,hisB
PA14_67940,panZ
PA14_67960,group_1613
PA14_67970,lhgD_2
PA14_67975,group_12030
PA14_67990,mutY
PA14_68000,group_12308
PA14_68040,fabG_10
PA14_68050,group_11452
PA14_68060,occP
PA14_68070,artJ
PA14_68080,artQ
PA14_68090,occM_2
PA14_68100,group_2880
PA14_68110,marR
PA14_68120,ttgI_4
PA14_68130,emrA_4
PA14_68140,farB_2
PA14_68170,rfbB
PA14_68190,rfbD
PA14_68200,rfbA
PA14_68210,rmlC
PA14_68230,dctB_2
PA14_68250,dctD_2
PA14_68260,dctP_3
PA14_68280,dctQ_2
PA14_68290,dctM_2
PA14_68300,arcD
PA14_68330,arcA_2
PA14_68340,arcB
PA14_68350,arcC1
PA14_68360,fabY
PA14_68370,cysQ
PA14_68380,nudE
PA14_68390,yrfG
PA14_68400,kbp
PA14_68420,cynR_4
PA14_68430,fdhD
PA14_68440,group_10477
PA14_68450,group_2884
PA14_68460,group_2885
PA14_68470,csrA_2
PA14_68480,aroQ
PA14_68490,group_2886
PA14_68500,adh1
PA14_68510,dmdC_7
PA14_68530,fadB_4
PA14_68550,nodD2_2
PA14_68560,drgA
PA14_68570,group_501
PA14_68580,pckA
PA14_68610,hslO
PA14_68620,lpxT
PA14_68630,hslR
PA14_68640,group_2889
PA14_68660,rimK
PA14_68670,group_11382
PA14_68680,envZ
PA14_68700,ompR_4
PA14_68710,yhgF
PA14_68720,paaI
PA14_68730,gshA
PA14_68740,argA
PA14_68750,group_11857
PA14_68770,argE_1
PA14_68780,group_10677
PA14_68800,group_10479
PA14_68810,ygiF
PA14_68820,group_11276
PA14_68830,ybbJ
PA14_68840,group_10967
PA14_68850,gcvP_2
PA14_68860,gcvH_3
PA14_68870,gcvT_2
PA14_68890,group_10375
PA14_68900,group_11327
PA14_68920,benM_5
PA14_68930,ynfM_2
PA14_68940,group_12055
PA14_68955,ubiI
PA14_68970,group_9847
PA14_68980,ubiH
PA14_69000,pepP
PA14_69010,group_2893
PA14_69020,group_2894
PA14_69030,zapA
PA14_69040,ygfA
PA14_69050,group_11972
PA14_69060,yhhJ
PA14_69070,rbbA
PA14_69090,mdtA_6
PA14_69100,group_10552
PA14_69110,qorA_2
PA14_69130,glpT_2
PA14_69140,ascD
PA14_69150,ubiD
PA14_69170,group_2897
PA14_69190,rho
PA14_69200,trxA
PA14_69220,ppx
PA14_69230,ppk
PA14_69240,hemB
PA14_69250,yohD
PA14_69260,elbB
PA14_69270,group_2898
PA14_69280,group_12597
PA14_69300,group_2899
PA14_69310,rhtB_3
PA14_69320,group_11454
PA14_69330,group_2900
PA14_69340,yheS
PA14_69350,group_12110
PA14_69370,group_536
PA14_69380,mip
PA14_69390,rsd
PA14_69400,dsbB_2
PA14_69420,hemY
PA14_69430,group_11338
PA14_69440,hemD
PA14_69450,hemC
PA14_69470,lytR
PA14_69480,group_9881
PA14_69500,argH
PA14_69510,group_1789
PA14_69520,group_1790
PA14_69540,group_5292
PA14_69550,vgrG1_4
PA14_69560,hcpA_3
PA14_69570,corA
PA14_69580,group_9355
PA14_69590,group_2904
PA14_69600,group_9474
PA14_69610,cyaA
PA14_69620,group_1792
PA14_69630,rnk
PA14_69640,cyaY
PA14_69660,lppL
PA14_69670,lysA
PA14_69690,dapF
PA14_69700,group_10816
PA14_69710,xerC_4
PA14_69720,yigB
PA14_69740,group_12335
PA14_69750,norG_4
PA14_69760,group_806
PA14_69770,sutA
PA14_69780,group_11543
PA14_69795,amtB_2
PA14_69810,glnK
PA14_69820,ubiK
PA14_69840,comM
PA14_69850,group_2905
PA14_69870,group_11247
PA14_69880,gcvA_9
PA14_69890,mdtK_2
PA14_69900,group_9887
PA14_69910,rep_2
PA14_69925,poxB
PA14_69940,xpt
PA14_69950,group_2907
PA14_69970,group_2908
PA14_69980,puuR_3
PA14_69990,dadX
PA14_70010,yabJ_3
PA14_70040,dadA1_2
PA14_70050,group_9798
PA14_70060,group_9270
PA14_70070,group_11952
PA14_70080,lrp_5
PA14_70100,puuB_11
PA14_70110,clsC
PA14_70120,ycaD_3
PA14_70140,puuC_3
PA14_70160,bauA_2
PA14_70170,group_9279
PA14_70180,rpmG
PA14_70190,rpmB
PA14_70200,dppA_5
PA14_70220,group_2911
PA14_70230,group_10693
PA14_70240,coaBC
PA14_70260,dut
PA14_70270,glmM_2
PA14_70280,argB
PA14_70290,group_12260
PA14_70300,group_11461
PA14_70310,group_2912
PA14_70330,group_2913
PA14_70340,group_10654
PA14_70350,ybgC_2
PA14_70360,group_11985
PA14_70370,pyrE
PA14_70390,exoA
PA14_70400,group_4458
PA14_70420,rph
PA14_70430,group_10323
PA14_70440,gmk
PA14_70450,rpoZ
PA14_70470,spoT
PA14_70480,yabJ_4
PA14_70490,group_10419
PA14_70510,rhtC_4
PA14_70530,rhaS_13
PA14_70550,group_9929
PA14_70560,oxyR_2
PA14_70570,recG
PA14_70580,group_4460
PA14_70590,group_12702
PA14_70600,hupB_2
PA14_70620,alkT
PA14_70630,rubA2
PA14_70640,rubA1
PA14_70650,group_10461
PA14_70670,lutA
PA14_70680,group_12327
PA14_70690,group_10892
PA14_70710,glcC
PA14_70720,ubiC
PA14_70730,ubiA
PA14_70740,group_2916
PA14_70750,phoB
PA14_70760,phoR
PA14_70770,group_11119
PA14_70780,group_1624
PA14_70790,cheB_5
PA14_70800,phoU
PA14_70810,pstB
PA14_70830,group_1626
PA14_70850,group_2917
PA14_70860,pstS
PA14_70920,proP_3
PA14_70930,group_9581
PA14_70940,betA_2
PA14_70950,betB_2
PA14_70970,betI_3
PA14_70980,betT1
PA14_71000,btuD_4
PA14_71020,opuAB_2
PA14_71030,group_11643
PA14_71060,tdcG
PA14_71070,cdhR_5
PA14_71080,group_2919
PA14_71090,cysL_3
PA14_71100,group_12340
PA14_71110,nlhH
PA14_71120,lcdH_1
PA14_71140,lcdH_2
PA14_71150,kce
PA14_71160,group_11796
PA14_71170,cdhR_6
PA14_71180,argE_2
PA14_71190,group_10108
PA14_71200,group_11492
PA14_71210,group_10864
PA14_71220,ywiE_2
PA14_71230,group_2922
PA14_71240,group_10932
PA14_71250,group_2923
PA14_71260,stcD
PA14_71280,group_11692
PA14_71300,fixB
PA14_71310,group_10355
PA14_71320,group_11581
PA14_71330,group_11916
PA14_71340,group_11547
PA14_71350,group_1629
PA14_71360,group_2924
PA14_71370,group_12089
PA14_71380,group_4461
PA14_71390,group_2925
PA14_71400,group_2926
PA14_71410,group_10972
PA14_71420,hcr
PA14_71430,group_1630
PA14_71440,ltaE_2
PA14_71450,group_10372
PA14_71460,glyA_3
PA14_71470,soxB
PA14_71490,soxD
PA14_71500,soxA
PA14_71510,soxG
PA14_71530,purU_2
PA14_71560,fdhA
PA14_71570,yeaD_2
PA14_71580,group_12739
PA14_71590,group_9221
PA14_71600,purK
PA14_71620,purE
PA14_71630,group_10436
PA14_71640,yjiE_2
PA14_71650,aspA
PA14_71670,group_11104
PA14_71680,gabR_2
PA14_71690,group_10231
PA14_71700,group_12282
PA14_71710,mtr_2
PA14_71720,oadA
PA14_71740,cfiB
PA14_71750,cmpR_4
PA14_71760,group_12147
PA14_71780,hexR_2
PA14_71800,zwf_2
PA14_71820,group_10184
PA14_71830,group_809
PA14_71840,group_6865
PA14_71850,group_1633
PA14_71870,uvrD
PA14_71880,group_12195
PA14_71890,cat1
PA14_71900,group_9298
PA14_71910,mshA_5
PA14_71920,mshA_6
PA14_71930,group_1635
PA14_71940,btuD_5
PA14_71960,group_2931
PA14_71970,algA_3
PA14_71990,gmd
PA14_72000,rmd
PA14_72010,group_1638
PA14_72020,group_11460
PA14_72030,COQ3_3
PA14_72040,oatA
PA14_72050,COQ3_4
PA14_72060,group_11855
PA14_72070,group_11534
PA14_72080,group_2935
PA14_72090,group_9885
PA14_72110,group_9758
PA14_72130,group_2936
PA14_72140,group_11764
PA14_72150,group_12553
PA14_72170,citN
PA14_72180,group_11935
PA14_72200,prfB_2
PA14_72210,rtcB_2
PA14_72220,group_3568
PA14_72230,group_11510
PA14_72250,group_12215
PA14_72260,patZ
PA14_72280,proP_4
PA14_72300,group_10555
PA14_72320,group_11433
PA14_72340,gltP_1
PA14_72350,group_8046
PA14_72360,ivy_2
PA14_72370,group_9570
PA14_72380,algB
PA14_72390,kinB
PA14_72400,amiD_2
PA14_72410,group_9361
PA14_72420,group_2939
PA14_72430,group_2940
PA14_72450,dsbA
PA14_72460,cc4_2
PA14_72470,group_2941
PA14_72480,engB
PA14_72490,polA
PA14_72500,group_9577
PA14_72510,thrB
PA14_72520,group_810
PA14_72540,nrdZ
PA14_72550,znuA
PA14_72560,zur
PA14_72580,znuC_2
PA14_72590,znuB_2
PA14_72600,group_12609
PA14_72620,metN_2
PA14_72630,metP
PA14_72640,group_12497
PA14_72650,group_10527
PA14_72660,rutB_3
PA14_72690,glnA_2
PA14_72700,group_1642
PA14_72710,puuP_5
PA14_72720,dctD_3
PA14_72740,dctB_3
PA14_72750,group_12053
PA14_72760,group_12495
PA14_72770,group_12647
PA14_72780,pdxY
PA14_72790,group_2943
PA14_72800,ybaL
PA14_72810,group_2944
PA14_72820,group_1888
PA14_72830,group_1889
PA14_72840,tsaC1
PA14_72850,puuA_5
PA14_72870,hemL_2
PA14_72880,fabG_11
PA14_72890,mcbR
PA14_72900,group_9379
PA14_72920,group_10578
PA14_72930,group_11468
PA14_72940,kefB
PA14_72960,kgtP_2
PA14_72970,tonB
PA14_72980,yeiR
PA14_72990,group_10009
PA14_73000,group_2948
PA14_73010,yciC
PA14_73020,dksA_2
PA14_73030,group_1647
PA14_73040,amiC_4
PA14_73050,folE2
PA14_73060,ccmM
PA14_73070,pyrC_2
PA14_73090,nylB
PA14_73100,group_2949
PA14_73110,group_1650
PA14_73120,group_11663
PA14_73140,COQ3_5
PA14_73150,group_10405
PA14_73160,sotB_2
PA14_73170,glmS_2
PA14_73190,srlR
PA14_73200,group_2951
PA14_73220,glmU
PA14_73230,atpC
PA14_73240,atpD
PA14_73250,atpG
PA14_73260,atpA
PA14_73280,atpH_1
PA14_73290,atpF
PA14_73300,atpH_2
PA14_73310,atpB
PA14_73320,group_12663
PA14_73330,parB
PA14_73350,parA
PA14_73360,rsmG
PA14_73370,mnmG
PA14_73390,group_880
PA14_73400,mnmE
PA14_73410,yidC
PA14_73420,rnpA
NA,group_12139
NA,group_1239
NA,group_1248
NA,group_5487
NA,group_1299
NA,group_1319
NA,group_1538
NA,group_1548
NA,group_1675
NA,group_1682
NA,group_1684
NA,umuC_1
NA,group_1701
NA,group_1703
NA,group_1706
NA,group_1712
NA,group_1721
NA,group_1726
NA,group_1740
NA,group_1786
NA,group_1843
NA,group_1858
NA,group_186
NA,group_1861
NA,group_189
NA,group_192
NA,cusA_1
NA,group_5516
NA,group_5517
NA,group_5518
NA,group_1960
NA,group_1966
NA,group_208
NA,group_2123
NA,group_2180
NA,group_2184
NA,group_2443
NA,group_274
NA,group_29
NA,group_292
NA,group_2991
NA,group_3001
NA,group_3004
NA,group_3007
NA,pcrA
NA,group_3021
NA,group_3022
NA,group_3023
NA,pta_1
NA,group_3025
NA,fabI_1
NA,group_3027
NA,group_3028
NA,yhhJ_1
NA,namA_1
NA,group_3034
NA,merR_2
NA,acr3_1
NA,cadI
NA,group_3038
NA,group_3039
NA,group_3040
NA,virB4_1
NA,group_3042
NA,group_3043
NA,group_3051
NA,group_3056
NA,group_3067
NA,cusS_1
NA,group_3077
NA,group_3082
NA,group_3084
NA,group_3086
NA,group_3126
NA,group_3127
NA,group_3128
NA,group_3130
NA,group_3131
NA,group_3132
NA,group_3133
NA,group_3134
NA,group_3135
NA,group_3140
NA,group_3153
NA,group_3157
NA,group_3161
NA,group_3178
NA,xerC_9
NA,group_3196
NA,group_3197
NA,group_3198
NA,group_3204
NA,group_3205
NA,group_3207
NA,gpFI_2
NA,group_3211
NA,group_3213
NA,group_3215
NA,group_5598
NA,group_5599
NA,group_56
NA,group_3231
NA,group_3234
NA,group_3237
NA,group_5602
NA,group_3264
NA,group_5604
NA,group_3298
NA,group_3336
NA,group_3347
NA,group_3349
NA,group_3352
NA,group_3365
NA,group_3375
NA,group_3384
NA,group_5612
NA,group_5613
NA,group_5616
NA,group_343
NA,group_3459
NA,group_3460
NA,group_5622
NA,group_5623
NA,group_348
NA,group_5625
NA,group_5626
NA,group_5627
NA,group_3531
NA,group_5629
NA,group_36
NA,group_3682
NA,group_3712
NA,group_3740
NA,group_393
NA,group_4018
NA,group_4019
NA,group_4020
NA,group_4021
NA,group_421
NA,hisK
NA,group_4339
NA,group_4340
NA,group_4341
NA,group_4342
NA,group_4343
NA,group_5645
NA,group_4426
NA,group_4430
NA,group_4471
NA,group_4472
NA,baiA
NA,group_4673
NA,group_4689
NA,phaB
NA,group_5654
NA,hrpB_2
NA,group_4729
NA,group_4730
NA,group_4731
NA,group_4732
NA,group_4733
NA,group_4734
NA,group_4735
NA,group_4736
NA,group_4737
NA,group_4738
NA,group_4739
NA,group_4740
NA,group_4741
NA,glnH_2
NA,rnlB
NA,rnlA
NA,group_4745
NA,group_4746
NA,group_4747
NA,group_4748
NA,group_4753
NA,group_4756
NA,group_4759
NA,group_4760
NA,arsA
NA,arsD
NA,group_4776
NA,group_4777
NA,group_4778
NA,group_4779
NA,group_4780
NA,group_4782
NA,group_4783
NA,group_4784
NA,group_4795
NA,group_4814
NA,group_4826
NA,group_4831
NA,cusR_1
NA,group_4841
NA,group_4843
NA,group_4846
NA,group_4847
NA,group_4849
NA,group_4871
NA,merA_2
NA,group_4873
NA,group_4874
NA,group_4876
NA,group_4877
NA,group_4954
NA,group_4955
NA,group_4956
NA,group_4957
NA,group_4958
NA,rapA_2
NA,group_4960
NA,group_4961
NA,group_4984
NA,group_5016
NA,group_5023
NA,group_5025
NA,group_5026
NA,group_5027
NA,group_5028
NA,group_5030
NA,group_5032
NA,group_5033
NA,group_5044
NA,group_578
NA,group_5104
NA,group_5105
NA,group_5106
NA,group_5107
NA,group_511
NA,group_5114
NA,group_5115
NA,higB2
NA,group_5174
NA,group_5195
NA,group_5253
NA,group_5255
NA,group_5257
NA,group_5260
NA,group_5264
NA,group_5268
NA,group_5269
NA,group_5277
NA,group_5281
NA,group_5282
NA,group_5283
NA,group_5285
NA,xerC_11
NA,group_5312
NA,group_5313
NA,group_5319
NA,group_5320
NA,group_5321
NA,group_5811
NA,group_5812
NA,group_5813
NA,group_5814
NA,group_5816
NA,group_5817
NA,group_5818
NA,group_5819
NA,group_582
NA,dnaC_2
NA,group_5821
NA,group_5825
NA,group_5826
NA,group_5827
NA,group_5828
NA,group_5829
NA,group_583
NA,group_5830
NA,group_5831
NA,group_565
NA,group_5833
NA,group_5834
NA,group_5835
NA,group_5836
NA,group_5837
NA,group_5838
NA,group_5991
NA,group_5840
NA,group_6064
NA,group_6079
NA,group_5844
NA,group_6190
NA,group_6200
NA,group_6204
NA,group_6267
NA,group_6268
NA,group_63
NA,group_6327
NA,group_6328
NA,group_6329
NA,group_635
NA,group_659
NA,group_6933
NA,namA_2
NA,group_5864
NA,group_7
NA,group_5866
NA,group_7056
NA,group_5868
NA,group_5869
NA,group_5870
NA,group_5871
NA,group_5872
NA,group_7857
NA,group_5874
NA,group_5875
NA,soj_4
NA,group_844
NA,group_847
NA,group_848
NA,group_855
NA,group_882
NA,group_899
NA,group_904
NA,group_906
NA,group_935
NA,group_9671
NA,group_5887
NA,group_986
NA,group_100
NA,wspC_1
NA,group_1102
NA,group_1103
NA,group_1105
NA,group_1107
NA,group_1117
NA,ilvB
NA,group_11565
NA,group_5898
NA,group_11722
NA,group_1176
NA,traG_1
NA,traG_3
NA,group_1192
NA,group_1196
NA,group_1202
NA,group_12130
NA,group_1399
NA,group_1431
NA,group_1468
NA,group_1470
NA,group_1522
NA,group_153
NA,ptlH
NA,group_1600
NA,umuC_2
NA,group_1718
NA,group_1727
NA,group_1737
NA,group_1739
NA,group_1781
NA,group_1799
NA,group_184
NA,per
NA,group_1844
NA,group_1856
NA,group_1866
NA,group_1874
NA,group_1876
NA,group_1879
NA,group_1882
NA,group_5931
NA,group_5933
NA,group_5934
NA,group_5935
NA,group_5936
NA,group_20
NA,group_205
NA,group_5939
NA,group_2121
NA,group_2122
NA,group_2181
NA,group_2182
NA,group_2183
NA,group_2186
NA,mqo_3
NA,group_23
NA,group_243
NA,group_248
NA,group_262
NA,group_5950
NA,group_2689
NA,group_2690
NA,group_2692
NA,rpfC_1
NA,group_294
NA,group_2956
NA,group_5992
NA,group_3002
NA,copD_1
NA,copC_2
NA,group_3088
NA,group_3089
NA,arsC_4
NA,group_3099
NA,group_3109
NA,group_3112
NA,group_3136
NA,group_3137
NA,group_3138
NA,group_3142
NA,group_3164
NA,group_3179
NA,group_321
NA,group_3218
NA,group_3243
NA,group_3255
NA,recB_1
NA,group_3294
NA,group_3313
NA,group_3320
NA,group_3355
NA,group_3372
NA,group_3374
NA,group_3379
NA,group_3380
NA,group_3381
NA,group_3387
NA,leuB_1
NA,group_3393
NA,group_3397
NA,group_6030
NA,group_6031
NA,group_6032
NA,group_6033
NA,group_6034
NA,group_6036
NA,group_6037
NA,group_6038
NA,group_6045
NA,group_6046
NA,group_6047
NA,group_605
NA,group_6051
NA,group_6052
NA,group_6053
NA,group_6054
NA,group_6055
NA,group_6056
NA,group_6057
NA,group_6058
NA,group_6059
NA,group_6060
NA,group_6061
NA,group_6062
NA,group_6068
NA,group_6069
NA,group_6070
NA,group_6071
NA,group_6072
NA,cse2
NA,group_6080
NA,group_6082
NA,group_6083
NA,group_3545
NA,group_3546
NA,group_3647
NA,group_3648
NA,group_3680
NA,group_3681
NA,cmpD_1
NA,ribY
NA,ribX
NA,fabG2
NA,group_3700
NA,group_3701
NA,pcaR_2
NA,group_3703
NA,nadX
NA,gbsA_1
NA,group_3706
NA,group_3707
NA,group_3708
NA,group_3709
NA,rutC
NA,pobB
NA,group_6110
NA,group_431
NA,group_4323
NA,group_4324
NA,group_4325
NA,group_4326
NA,pknD_4
NA,group_4329
NA,group_4333
NA,group_4334
NA,group_4335
NA,group_4336
NA,group_4337
NA,group_4388
NA,group_4424
NA,group_4427
NA,group_4428
NA,group_4450
NA,group_4451
NA,group_4452
NA,ftsH_5
NA,group_4454
NA,group_4469
NA,group_461
NA,group_4660
NA,group_4671
NA,group_4678
NA,group_4679
NA,group_4680
NA,group_4681
NA,group_4682
NA,group_4683
NA,group_4684
NA,group_4685
NA,group_4686
NA,group_4687
NA,group_4688
NA,group_4690
NA,group_4691
NA,group_4692
NA,group_4693
NA,group_4694
NA,virS_1
NA,group_4697
NA,rbbA_1
NA,virS_2
NA,anr_1
NA,group_4701
NA,arcD_1
NA,group_4703
NA,group_4704
NA,group_4705
NA,group_4706
NA,group_4707
NA,group_4708
NA,cueR_1
NA,group_4710
NA,group_4711
NA,group_4712
NA,group_4713
NA,group_4714
NA,group_4715
NA,group_4716
NA,group_4717
NA,group_4718
NA,group_4719
NA,group_4720
NA,group_4721
NA,group_4722
NA,group_4723
NA,group_4724
NA,group_4725
NA,group_4726
NA,intS_1
NA,group_474
NA,group_4750
NA,group_4752
NA,group_4754
NA,hin
NA,group_4762
NA,group_4763
NA,group_4764
NA,folP_1
NA,group_4766
NA,group_4767
NA,group_4768
NA,group_4769
NA,merA_1
NA,merC_1
NA,merP_1
NA,merT_1
NA,group_4781
NA,group_4785
NA,ble
NA,group_4787
NA,group_4788
NA,group_4789
NA,qacA
NA,group_4791
NA,group_4792
NA,group_4793
NA,group_4794
NA,group_4796
NA,group_4797
NA,group_4798
NA,group_4799
NA,group_4800
NA,group_4803
NA,group_4804
NA,group_4806
NA,group_4807
NA,group_4810
NA,group_4811
NA,group_4812
NA,group_4813
NA,group_4816
NA,group_4817
NA,group_482
NA,group_4820
NA,group_4823
NA,group_485
NA,group_4851
NA,group_4853
NA,group_4854
NA,group_4855
NA,group_4856
NA,group_4857
NA,arsC_3
NA,acr3_2
NA,group_4867
NA,group_4868
NA,group_4869
NA,group_488
NA,group_4880
NA,group_4881
NA,group_4884
NA,group_4885
NA,group_4898
NA,group_4901
NA,group_4902
NA,group_4904
NA,group_4905
NA,group_4907
NA,group_4908
NA,group_4910
NA,group_4911
NA,group_4912
NA,group_4913
NA,group_4914
NA,umuC_3
NA,umuC_4
NA,umuD
NA,group_4918
NA,fan1_1
NA,group_4920
NA,group_4921
NA,apaH_3
NA,group_4923
NA,group_4924
NA,group_4925
NA,group_4926
NA,group_4927
NA,group_4928
NA,group_4929
NA,group_4930
NA,group_4931
NA,group_4932
NA,group_4933
NA,group_4934
NA,group_4935
NA,group_4936
NA,group_4937
NA,group_4938
NA,group_4939
NA,group_4940
NA,group_4941
NA,group_4942
NA,group_4943
NA,vapB
NA,vapC
NA,group_4946
NA,group_4947
NA,group_4948
NA,group_4949
NA,group_4950
NA,group_4951
NA,group_4952
NA,intA
NA,group_4963
NA,group_5005
NA,group_5006
NA,group_5007
NA,group_5008
NA,group_5009
NA,group_5010
NA,group_5011
NA,group_5012
NA,group_5013
NA,group_5015
NA,group_5017
NA,group_5018
NA,group_5029
NA,group_5031
NA,group_5034
NA,group_5035
NA,group_5036
NA,group_5037
NA,group_5038
NA,group_5039
NA,group_5040
NA,group_5041
NA,group_5042
NA,group_5043
NA,group_5047
NA,group_5050
NA,group_5053
NA,group_5054
NA,group_5055
NA,group_5056
NA,group_5057
NA,group_5058
NA,group_5059
NA,group_5060
NA,group_5061
NA,queC_2
NA,dtd3
NA,group_5064
NA,group_5065
NA,group_5066
NA,group_5067
NA,group_5068
NA,group_5103
NA,group_5111
NA,group_5116
NA,group_5118
NA,group_5125
NA,group_5126
NA,group_5127
NA,group_5129
NA,group_5130
NA,group_5131
NA,group_5132
NA,group_5133
NA,group_5134
NA,group_5135
NA,group_5136
NA,group_5137
NA,group_5138
NA,group_5139
NA,group_5140
NA,group_5141
NA,group_5142
NA,group_5143
NA,sbcD_2
NA,group_5145
NA,group_5146
NA,group_5148
NA,group_5153
NA,group_5154
NA,group_5155
NA,group_5156
NA,group_5163
NA,group_5164
NA,group_5168
NA,group_5169
NA,group_5170
NA,group_5172
NA,group_5173
NA,group_5175
NA,group_5176
NA,group_5177
NA,group_5178
NA,group_5179
